Vissa EG-relaterade frågor ;Bilaga//NN|UTR|SIN|IND|NOM//ROOT//0 3//RG|NOM//nummod//0
Vissa EG-relaterade frågor ;I//PP//case//17 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//17 protokoll//NN|NEU|SIN|IND|NOM//obl//21 (//PAD//punct//17 5537/01//RG|NOM//appos//17 )//PAD//punct//17 gjordes//VB|PRT|SFO//conj//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 uttalande//NN|NEU|SIN|IND|NOM//nsubj:pass//21 under//PP//case//25 punkten//NN|UTR|SIN|DEF|NOM//obl//21 2//RG|NOM//nummod//21 ://MAD//punct//1
Vissa EG-relaterade frågor ;Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//1 åtar//VB|PRS|AKT//ROOT//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//1 –//RG|NOM//punct//1 i//PP//case//6 den//DT|UTR|SIN|DEF//det//6 mån//NN|UTR|SIN|IND|NOM//obl//1 som//HP|-|-|-//mark//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//9 går//VB|PRS|AKT//acl:relcl//6 att//IE//mark//11 förutse//VB|INF|AKT//csubj//9 i//PP//advmod//11 dag//NN|UTR|SIN|IND|NOM//fixed//12 –//RG|NOM//punct//6 att//IE//mark//30 från//PP//case//21 och//KN//fixed//16 med//PP//fixed//16 den//DT|UTR|SIN|DEF//det//21 1//RO|NOM//nummod//21 januari//NN|UTR|SIN|IND|NOM//obl//30 2001//RG|NOM//nummod//21 till//PP//case//28 och//KN//fixed//23 med//AB//fixed//23 den//DT|UTR|SIN|DEF//det//28 31//RG|NOM//nummod//28 december//NN|UTR|SIN|IND|NOM//obl//30 2005//RG|NOM//nummod//28 göra//VB|INF|AKT//acl//6 sitt//PS|NEU|SIN|DEF//nmod:poss//32 yttersta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obj//30 för//PP//mark//35 att//IE//mark//35 förhindra//VB|INF|AKT//advcl//30 att//SN//mark//55 den//DT|UTR|SIN|DEF//det//39 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//55 på//PP//case//42 10//RG|NOM//nummod//42 procentenheter//NN|UTR|PLU|IND|NOM//nmod//39 i//PP//case//48 förhållande//NN|NEU|SIN|IND|NOM//fixed//43 till//PP//fixed//43 den//DT|UTR|SIN|DEF//det//48 lägsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//48 grundskattesats//VB|SUP|SFO//nmod//39 som//HP|-|-|-//nsubj:pass//52 för//PP//case//51 närvarande//NN|NEU|SIN|IND|NOM//obl//52 tillämpas//VB|PRS|SFO//acl:relcl//48 av//PP//case//54 medlemsstaterna//NN|UTR|PLU|DEF|NOM//obl:agent//52 ökar//VB|PRS|AKT//ccomp//35 .//MAD//punct//1
Vissa EG-relaterade frågor ;Mervärdesskatteordningen//NN|UTR|SIN|DEF|NOM//ROOT//0 för//PP//case//2 radio-//NN|UTR|-|-|SMS//nmod//0 och//KN//cc//4 televisionssändningar//NN|UTR|PLU|IND|NOM//conj//2 samt//KN//cc//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 tjänster//NN|UTR|PLU|IND|NOM//conj//2 som//HP|-|-|-//nsubj:pass//9 tillhandahålls//VB|PRS|SFO//acl:relcl//7 på//PP//case//12 elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//12 väg//NN|UTR|SIN|IND|NOM//obl//9 (//PAD//punct//12 beslut//NN|NEU|SIN|IND|NOM//appos//12 den//DT|UTR|SIN|DEF//det//17 7//RO|NOM//nummod//17 maj//NN|UTR|SIN|IND|NOM//nmod//14 2002//RG|NOM//nummod//17 )//PAD//punct//0
Vissa EG-relaterade frågor ;Genom//PP//case//3 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//3 direktiv//NN|NEU|SIN|IND|NOM//amod//3 2002/38//RG|NOM//obl//6 ///MID//cc//5 EG//PM|NOM//conj//3 beslutades//VB|PRT|SFO//advcl//48 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 regler//NN|UTR|PLU|IND|NOM//nsubj:pass//6 för//PP//case//10 redovisning//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//12 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//10 vid//PP//case//15 elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//15 handel//NN|UTR|SIN|IND|NOM//nmod//12 med//PP//case//17 tjänster//NN|UTR|PLU|IND|NOM//nmod//15 mellan//PP//case//19 länder//NN|NEU|PLU|IND|NOM//nmod//17 utanför//PP//case//21 EG//PM|NOM//nmod//19 och//KN//cc//23 länder//NN|NEU|PLU|IND|NOM//conj//21 inom//PP//case//25 EU//PM|NOM//nmod//23 samt//KN//cc//27 regler//NN|UTR|PLU|IND|NOM//conj//25 om//PP//mark//29 tillhandahållande//NN|NEU|SIN|IND|NOM//nmod//27 av//PP//case//31 radio-//NN|UTR|-|-|SMS//nmod//29 och//KN//cc//33 TV-sändningar//NN|UTR|PLU|IND|NOM//conj//31 från//PP//case//35 länder//NN|NEU|PLU|IND|NOM//obl//29 utanför//PP//case//37 EG//PM|NOM//nmod//35 till//PP//case//39 länder//NN|NEU|PLU|IND|NOM//obl//29 inom//PP//case//41 EG//PM|NOM//nmod//39 .//MAD//punct//6
Vissa EG-relaterade frågor ;Ur//PP//case//44 skattesatsperspektiv//NN|NEU|SIN|IND|NOM//parataxis//6 är//VB|PRS|AKT//cop//48 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//48 av//PP//case//48 intresse//NN|NEU|SIN|IND|NOM//nsubj//91 att//SN//mark//51 direktivet//NN|NEU|SIN|DEF|NOM//nsubj//51 föranlett//VB|SUP|AKT//acl//48 en//DT|UTR|SIN|IND//det//53 ändring//NN|UTR|SIN|IND|NOM//obj//51 i//PP//case//56 artikel//NN|UTR|SIN|IND|NOM//nmod//56 12.3//RG|NOM//nmod//53 a//NN|NEU|SIN|IND|NOM//advmod//51 i//PP//case//61 det//DT|NEU|SIN|DEF//det//61 sjätte//RO|NOM//amod//61 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//obl//51 .//MAD//punct//48
Vissa EG-relaterade frågor ;I//PP//case//67 ett//DT|NEU|SIN|IND//det//67 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//67 fjärde//RO|NOM//amod//67 stycke//NN|NEU|SIN|IND|NOM//obl//68 uttalas//VB|PRS|SFO//parataxis//48 att//SN//mark//74 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//71 skattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//74 inte//AB//advmod//74 får//VB|PRS|AKT//aux//74 tillämpas//VB|INF|SFO//advcl//68 för//PP//case//76 tjänster//NN|UTR|PLU|IND|NOM//obl//74 som//HP|-|-|-//nsubj:pass//78 avses//VB|PRS|SFO//acl:relcl//76 i//PP//case//81 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//81 strecksatsen//NN|UTR|SIN|DEF|NOM//obl//78 i//PP//case//84 artikel//NN|UTR|SIN|IND|NOM//nmod//84 9.2//RG|NOM//nummod//85 e.//NN|AN//obl//78 De//DT|UTR/NEU|PLU|DEF//det//87 tjänster//NN|UTR|PLU|IND|NOM//obl//78 som//HP|-|-|-//nsubj:pass//89 avses//VB|PRS|SFO//acl:relcl//87 är//VB|PRS|AKT//cop//91 tjänster//NN|UTR|PLU|IND|NOM//ROOT//91 som//HP|-|-|-//nsubj:pass//93 tillhandahålls//VB|PRS|SFO//acl:relcl//91 på//PP//case//96 elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//96 väg//NN|UTR|SIN|IND|NOM//obl//93 .//MAD//punct//91
Vissa EG-relaterade frågor ;En//DT|UTR|SIN|IND//det//99 hänvisning//NN|UTR|SIN|IND|NOM//nsubj:pass//100 görs//VB|PRS|SFO//parataxis//91 till//PP//case//105 en//DT|UTR|SIN|IND//det//104 ny//JJ|POS|UTR|SIN|IND|NOM//amod//104 bilaga//NN|UTR|SIN|IND|NOM//nmod//105 L//NN|NEU|SIN|IND|NOM//obl//100 där//HA//advmod//100 exempel//NN|NEU|SIN|IND|NOM//nsubj:pass//111 på//PP//case//110 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//110 tjänster//NN|UTR|PLU|IND|NOM//nmod//107 redovisas//VB|PRS|SFO//advcl//100 .//MAD//punct//91
Vissa EG-relaterade frågor ;Förlängning//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 försöket//NN|NEU|SIN|DEF|NOM//nmod//0 med//PP//case//5 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//5 moms//NN|UTR|SIN|IND|NOM//nmod//2 på//PP//case//8 arbetsintensiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 tjänster//NN|UTR|PLU|IND|NOM//nmod//5 (//PAD//punct//10 beslut//NN|NEU|PLU|IND|NOM//appos//0 den//DT|UTR|SIN|DEF//det//13 3//RO|NOM//nummod//13 december//NN|UTR|SIN|IND|NOM//obl//10 2002//RG|NOM//nummod//13 )//PAD//punct//10
Vissa EG-relaterade frågor ;Genom//PP//case//2 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 direktiv//NN|NEU|SIN|IND|NOM//nmod//3 2002/93//RG|NOM//nsubj:pass//12 ///MID//cc//5 EG//PM|NOM//conj//3 och//KN//cc//8 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 beslut//NN|NEU|SIN|IND|NOM//conj//3 2002/954//RG|NOM//nummod//3 ///MID//cc//11 EG//PM|NOM//conj//9 förlängdes//VB|PRT|SFO//advcl//38 den//DT|UTR|SIN|DEF//det//14 period//NN|UTR|SIN|IND|NOM//nsubj:pass//12 under//PP//case//16 vilket//HP|NEU|SIN|IND//obl//24 försöket//NN|NEU|SIN|DEF|NOM//nsubj//24 med//PP//case//19 lågmoms//NN|UTR|SIN|IND|NOM//nmod//17 på//PP//case//22 arbetsintensiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 tjänster//NN|UTR|PLU|IND|NOM//nmod//17 skulle//VB|PRT|AKT//aux//24 pågå//VB|INF|AKT//advcl//12 .//MAD//punct//12
Vissa EG-relaterade frågor ;I//PP//mark//32 stället//NN|NEU|SIN|DEF|NOM//fixed//26 för//PP//fixed//26 att//IE//mark//32 som//HP|-|-|-//mark//32 tidigare//AB|KOM//advmod//32 beslutat//VB|SUP|AKT//advcl//38 upphöra//VB|INF|AKT//xcomp//32 den//DT|UTR|SIN|DEF//det//36 31//RG|NOM//nummod//36 december//NN|UTR|SIN|IND|NOM//obl//33 2002//RG|NOM//nummod//36 bestämdes//VB|PRT|SFO//ROOT//38 nu//AB//advmod//38 att//SN//mark//43 försöket//NN|NEU|SIN|DEF|NOM//nsubj:pass//43 skulle//VB|PRT|AKT//aux//43 avslutas//VB|INF|SFO//ccomp//38 först//AB//advmod//43 den//DT|UTR|SIN|DEF//det//47 31//RG|NOM//nummod//47 december//NN|UTR|SIN|IND|NOM//obl//43 2003//RG|NOM//nummod//47 .//MAD//punct//38
Vissa EG-relaterade frågor ;Förslag//NN|NEU|PLU|IND|NOM//ROOT//0 till//PP//case//2 direktiv//NN|NEU|PLU|IND|NOM//nmod//0 beträffande//PP//case//4 tjänster//NN|UTR|PLU|IND|NOM//nmod//0 som//HP|-|-|-//nsubj:pass//6 tillhandahålls//VB|PRS|SFO//acl:relcl//4 inom//PP//case//8 postsektorn//NN|UTR|SIN|DEF|NOM//obl//6
Vissa EG-relaterade frågor ;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//6 den//DT|UTR|SIN|DEF//det//4 5//RO|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obl//6 2003//RG|NOM//nummod//4 lämnat//VB|SUP|AKT//ROOT//6 ett//DT|NEU|SIN|IND//det//8 förslag//NN|NEU|SIN|IND|NOM//obj//6 till//PP//case//11 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 direktiv//NN|NEU|SIN|IND|NOM//nmod//8 om//PP//case//13 ändring//NN|UTR|SIN|IND|NOM//nmod//8 av//PP//case//16 direktiv//NN|NEU|PLU|IND|NOM//amod//16 77/388//RG|NOM//nmod//13 ///MID//cc//18 EEG//NN|AN//conj//16 beträffande//PP//case//20 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//13 på//PP//case//22 tjänster//NN|UTR|PLU|IND|NOM//nmod//20 som//HP|-|-|-//nsubj:pass//24 tillhandahålls//VB|PRS|SFO//acl:relcl//22 inom//PP//case//26 postsektorn//NN|UTR|SIN|DEF|NOM//obl//24 ,//MID//punct//28 KOM(2003//RG|NOM//conj//26 )//PAD//punct//26 234//RG|NOM//nummod//31 slutlig//JJ|POS|UTR|SIN|IND|NOM//conj//26 .//MID//punct//6
Vissa EG-relaterade frågor ;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//34 föreslår//VB|PRS|AKT//parataxis//6 i//PP//case//36 direktivet//NN|NEU|SIN|DEF|NOM//obl//34 att//SN//mark//42 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//39 skattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//42 skall//VB|PRS|AKT//aux//42 kunna//VB|INF|AKT//aux//42 användas//VB|INF|SFO//advcl//34 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//45 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 omsättningar//NN|UTR|PLU|IND|NOM//obl//42 .//MAD//punct//6
Vissa EG-relaterade frågor ;Förslag//NN|NEU|PLU|IND|NOM//ROOT//0 till//PP//case//2 direktiv//NN|NEU|PLU|IND|NOM//nmod//0 om//PP//case//7 ändring//NN|UTR|SIN|IND|NOM//det//7 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 mervärdesskattesatser//NN|UTR|PLU|IND|NOM//nmod//0
Vissa EG-relaterade frågor ;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2003//RG|NOM//nummod//4 lämnat//VB|SUP|AKT//conj//1 förslag//NN|NEU|SIN|IND|NOM//obj//6 till//PP//case//10 en//DT|UTR|SIN|IND//det//10 ändring//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//12 reglerna//NN|UTR|PLU|DEF|NOM//nmod//10 om//PP//case//15 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//15 skattesatser//NN|UTR|PLU|IND|NOM//nmod//12 (//PAD//punct//15 KOM[2003//PAD//nmod//10 ]//PAD//punct//17 397//RG|NOM//nummod//20 slutlig//JJ|POS|UTR|SIN|IND|NOM//amod//10 )//PAD//punct//20 .//MAD//punct//1
Vissa EG-relaterade frågor ;Dokumentet//NN|NEU|SIN|DEF|NOM//nsubj//27 är//VB|PRS|AKT//cop//27 förutom//PP//case//27 ett//DT|NEU|SIN|IND//det//27 förslag//NN|NEU|SIN|IND|NOM//parataxis//1 till//PP//case//30 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 regler//NN|UTR|PLU|IND|NOM//nmod//27 även//AB//advmod//32 avsett//VB|SUP|AKT//acl:relcl//27 att//IE//mark//34 ersätta//VB|INF|AKT//xcomp//32 den//DT|UTR|SIN|DEF//det//36 rapport//NN|UTR|SIN|IND|NOM//obj//34 som//HP|-|-|-//obl//40 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//40 är//VB|PRS|AKT//cop//40 ålagd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//36 att//IE//mark//42 lägga//VB|INF|AKT//advcl//40 fram//PL//compound:prt//42 vartannat//DT|NEU|SIN|IND//amod//45 år//NN|NEU|SIN|IND|NOM//obj//42 som//KN//mark//47 underlag//NN|NEU|SIN|IND|NOM//obl//42 för//PP//case//50 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//50 granskning//NN|UTR|SIN|IND|NOM//nmod//47 av//PP//case//52 tillämpningsområdet//NN|NEU|SIN|DEF|NOM//nmod//50 för//PP//case//56 de//DT|UTR/NEU|PLU|DEF//det//56 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//56 skattesatserna//NN|UTR|PLU|DEF|NOM//nmod//50 (//PAD//punct//56 artikel//NN|UTR|SIN|IND|NOM//nmod//59 12.4//RG|NOM//nmod//61 andra//RO|NOM//amod//61 stycket//NN|NEU|SIN|DEF|NOM//nmod//50 i//PP//case//64 sjätte//RO|NOM//amod//64 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//nmod//61 )//PAD//punct//27 .//MAD//punct//1
Vissa EG-relaterade frågor ;I//PP//case//68 förslaget//NN|NEU|SIN|DEF|NOM//obl//69 refererar//VB|PRS|AKT//conj//1 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//69 till//PP//case//72 uttalanden//NN|NEU|PLU|IND|NOM//obl//69 i//PP//case//74 strategiprograrmmet//NN|NEU|SIN|DEF|NOM//nmod//72 där//HA//advmod//77 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//77 framhållits//VB|SUP|SFO//advcl//69 att//SN//mark//81 man//PN|UTR|SIN|IND|SUB//nsubj//81 borde//VB|PRT|AKT//aux//81 revidera//VB|INF|AKT//ccomp//77 och//KN//cc//83 rationalisera//VB|INF|AKT//conj//81 reglerna//NN|UTR|PLU|DEF|NOM//obj//83 och//KN//cc//86 avvikelserna//NN|UTR|PLU|DEF|NOM//conj//84 när//HA//case//91 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//87 gäller//VB|PRS|AKT//fixed//87 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//91 skattesatser//NN|UTR|PLU|IND|NOM//nmod//86 .//MAD//punct//69
Vissa EG-relaterade frågor ;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//94 hänvisar//VB|PRS|AKT//parataxis//69 i//PP//case//96 förslaget//NN|NEU|SIN|DEF|NOM//obl//94 till//PP//case//99 den//DT|UTR|SIN|DEF//det//99 utvärdering//NN|UTR|SIN|IND|NOM//obl//94 som//HP|-|-|-//nsubj:pass//101 gjorts//VB|SUP|SFO//acl:relcl//99 av//PP//case//103 försöket//NN|NEU|SIN|DEF|NOM//obl:agent//101 med//PP//case//106 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//106 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//103 på//PP//case//109 arbetsintensiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//109 tjänster//NN|UTR|PLU|IND|NOM//nmod//106 (//PAD//punct//109 KOM[2003//PAD//appos//109 ]//PAD//punct//111 309//RG|NOM//nummod//109 )//PAD//punct//69 .//MAD//punct//1
Vissa EG-relaterade frågor ;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//117 menar//VB|PRS|AKT//parataxis//1 att//SN//mark//121 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//121 är//VB|PRS|AKT//cop//121 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//117 att//SN//mark//125 ett//DT|NEU|SIN|IND//det//124 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//125 läggs//VB|PRS|SFO//csubj//121 fram//PL//compound:prt//125 som//HP|-|-|-//nsubj//128 innebär//VB|PRS|AKT//advcl//125 en//DT|UTR|SIN|IND//det//130 förenkling//NN|UTR|SIN|IND|NOM//obj//128 och//KN//cc//132 rationalisering//NN|UTR|SIN|IND|NOM//conj//130 av//PP//case//134 skattesatserna//NN|UTR|PLU|DEF|NOM//nmod//132 .//MAD//punct//121
Vissa EG-relaterade frågor ;Vid//PP//case//138 det//DT|NEU|SIN|DEF//det//138 arbetet//NN|NEU|SIN|DEF|NOM//obl//141 har//VB|PRS|AKT//aux//141 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//141 valt//VB|SUP|AKT//advcl//121 att//IE//mark//143 arbeta//VB|INF|AKT//xcomp//141 efter//PP//case//146 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//146 riktlinjer//NN|UTR|PLU|IND|NOM//obl//143 ://MAD//punct//117
Vissa EG-relaterade frågor ;•//NN|UTR|SIN|IND|NOM//case//1 Möjligheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 att//IE//mark//3 tillämpa//VB|INF|AKT//acl//1 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//5 skattesats//NN|UTR|SIN|IND|NOM//obj//3 utsträcks//VB|PRS|SFO//ROOT//6 inte//AB//advmod//6 till//PP//case//10 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 kategorier//NN|UTR|PLU|IND|NOM//obl//6 för//PP//case//12 vilka//HP|UTR/NEU|PLU|IND//obl//15 normalskattesatsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//15 redan//AB//advmod//15 tillämpas//VB|PRS|SFO//advcl//6 i//PP//case//18 alla//DT|UTR/NEU|PLU|IND/DEF//det//18 medlemsstaterna//NN|UTR|PLU|DEF|NOM//obl//15 och//KN//cc//27 där//HA//advmod//27 en//DT|UTR|SIN|IND//det//23 viss//JJ|POS|UTR|SIN|IND|NOM//amod//23 grad//NN|UTR|SIN|IND|NOM//nsubj:pass//27 av//PP//case//25 harmonisering//NN|UTR|SIN|IND|NOM//nmod//23 redan//AB//advmod//27 uppnåtts//VB|SUP|SFO//conj//15 .//MAD//punct//6
Vissa EG-relaterade frågor ;•//NN|UTR|SIN|IND|NOM//case//1 Möjligheten//NN|UTR|SIN|DEF|NOM//nsubj//36 för//PP//case//4 alla//DT|UTR/NEU|PLU|IND/DEF//det//4 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nmod//1 att//IE//mark//6 tillämpa//VB|INF|AKT//acl//4 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//8 skattesatser//NN|UTR|PLU|IND|NOM//obj//6 utsträcks//VB|PRS|SFO//amod//1 till//PP//mark//13 att//IE//mark//13 endast//AB//advmod//13 gälla//VB|INF|AKT//advcl//1 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//15 kategorier//NN|UTR|PLU|IND|NOM//obj//13 av//PP//case//17 varor//NN|UTR|PLU|IND|NOM//nmod//15 och//KN//cc//19 tjänster//NN|UTR|PLU|IND|NOM//conj//17 för//PP//case//21 vilka//HP|UTR/NEU|PLU|IND//obl//13 ett//DT|NEU|SIN|IND//det//24 visst//JJ|POS|NEU|SIN|IND|NOM//amod//24 antal//NN|NEU|SIN|IND|NOM//nmod//25 medlemsstater//NN|UTR|PLU|IND|NOM//nmod//21 redan//AB//advmod//21 ,//MID//punct//30 genom//PP//case//30 specifika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 avvikelser//NN|UTR|PLU|IND|NOM//nmod//21 eller//KN//cc//33 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 bestämmelser//NN|UTR|PLU|IND|NOM//conj//30 ,//MID//punct//36 får//VB|PRS|AKT//aux//36 tillämpa//VB|INF|AKT//ROOT//36 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//38 skattesatser//NN|UTR|PLU|IND|NOM//obj//36 förutsatt//PC|PRF|NEU|SIN|IND|NOM//mark//42 att//SN//fixed//39 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//42 konstaterats//VB|SUP|SFO//advcl//36 att//SN//mark//47 denna//DT|UTR|SIN|DEF//det//45 tillämpning//NN|UTR|SIN|IND|NOM//nsubj//47 inte//AB//advmod//47 inverkat//VB|SUP|AKT//ccomp//42 menligt//AB|POS//xcomp//47 på//PP//case//53 den//DT|UTR|SIN|DEF//det//52 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//52 marknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 sätt//NN|NEU|SIN|IND|NOM//obl//47 att//IE//mark//55 fungera//VB|INF|AKT//acl//53 .//MAD//punct//36
Vissa EG-relaterade frågor ;Denna//DT|UTR|SIN|DEF//det//58 åtgärd//NN|UTR|SIN|IND|NOM//nsubj//59 berör//VB|PRS|AKT//parataxis//36 restaurangtjänster//NN|UTR|PLU|IND|NOM//obj//59 ,//MID//punct//62 bostäder//NN|UTR|PLU|IND|NOM//conj//60 ,//MID//punct//64 tillhandahållande//NN|NEU|SIN|IND|NOM//conj//60 av//PP//case//66 gas//NN|UTR|SIN|IND|NOM//nmod//64 och//KN//cc//70 el//NN|UTR|SIN|IND|NOM//fixed//67 samt//KN//cc//70 vård//NN|UTR|SIN|IND|NOM//conj//66 i//PP//case//72 hemmet//NN|NEU|SIN|DEF|NOM//nmod//70 .//MAD//punct//36
Vissa EG-relaterade frågor ;•//NN|UTR|SIN|IND|NOM//mark//4 Bilaga//NN|UTR|SIN|IND|NOM//nsubj//4 H//PM|NOM//flat:name//1 skall//VB|PRS|AKT//aux//4 bli//VB|INF|AKT//ROOT//4 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 referensen//NN|UTR|SIN|DEF|NOM//xcomp//4 för//PP//case//9 alla//DT|UTR/NEU|PLU|IND/DEF//det//9 avvikelser//NN|UTR|PLU|IND|NOM//obl//4 från//PP//case//11 normalskattesatsen//NN|UTR|SIN|DEF|NOM//nmod//9 ,//MID//punct//4 vilket//HP|NEU|SIN|IND//nsubj//14 får//VB|PRS|AKT//acl:relcl//4 till//PP//compound:prt//14 följd//NN|UTR|SIN|IND|NOM//fixed//15 att//SN//mark//19 parkeringssatsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 slopas//VB|PRS|SFO//ccomp//14 samt//KN//cc//27 att//SN//mark//27 nollskattesatserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//27 och//KN//cc//26 de//DT|UTR/NEU|PLU|DEF//det//26 superreducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 skattesatserna//NN|UTR|PLU|DEF|NOM//conj//22 begränsas//VB|PRS|SFO//conj//19 uteslutande//AB//advmod//30 till//PP//case//30 varor//NN|UTR|PLU|IND|NOM//obl//27 och//KN//cc//32 tjänster//NN|UTR|PLU|IND|NOM//conj//30 som//HP|-|-|-//nsubj:pass//34 anges//VB|PRS|SFO//acl:relcl//32 i//PP//case//36 bilaga//NN|UTR|SIN|IND|NOM//obl//34 H.//PM|NOM//nummod//36
