Sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 om//PP//case//4 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//6 haft//VB|SUP|AKT//ROOT//6 som//KN//mark//8 uppdrag//NN|NEU|SIN|IND|NOM//xcomp//6 att//IE//mark//10 se//VB|INF|AKT//acl//8 över//PL//compound:prt//10 och//KN//cc//13 föreslå//VB|INF|AKT//conj//10 de//DT|UTR/NEU|PLU|DEF//det//15 åtgärder//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj:pass//17 behövs//VB|PRS|SFO//acl:relcl//15 för//PP//mark//21 att//IE//mark//21 kunna//VB|INF|AKT//aux//21 anpassa//VB|INF|AKT//advcl//17 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 personalförsörjning//NN|UTR|SIN|IND|NOM//obj//21 till//PP//case//27 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 uppgifter//NN|UTR|PLU|IND|NOM//obl//21 och//KN//cc//29 behov//NN|NEU|PLU|IND|NOM//conj//27 .//MAD//punct//6
Internationella jämförelser och slutsatser;De//DT|UTR/NEU|PLU|DEF//det//44 länder//NN|NEU|PLU|IND|NOM//nsubj//62 som//HP|-|-|-//nsubj//46 valt//VB|SUP|AKT//acl:relcl//44 att//IE//mark//48 erbjuda//VB|INF|AKT//xcomp//46 förmåner//NN|UTR|PLU|IND|NOM//obj//48 i//PP//case//51 slutet//NN|NEU|SIN|DEF|NOM//nmod//49 på//PP//case//54 en//DT|UTR|SIN|IND//det//54 anställning//NN|UTR|SIN|IND|NOM//nmod//49 som//KN//mark//56 pension//NN|UTR|SIN|IND|NOM//nmod//54 ,//MID//punct//58 bonus//NN|UTR|SIN|IND|NOM//conj//56 eller//KN//cc//61 attraktiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 karriärväxlingsprogram//NN|NEU|PLU|IND|NOM//conj//56 tenderar//VB|PRS|AKT//parataxis//30 att//IE//mark//64 nå//VB|INF|AKT//xcomp//62 längre//AB|KOM//advmod//66 genomsnittliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 anställningar//NN|UTR|PLU|IND|NOM//obj//64 .//MAD//punct//30
Internationella jämförelser och slutsatser;Stöd//NN|NEU|SIN|IND|NOM//ROOT//0 till//PP//case//2 anhöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//0
Internationella jämförelser och slutsatser;Stöd//NN|NEU|SIN|IND|NOM//nsubj//18 till//PP//case//2 familj//NN|UTR|SIN|IND|NOM//obl//0 och//KN//cc//4 anhöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//2 under//PP//case//6 insatser//NN|UTR|PLU|IND|NOM//obl//7 skiljer//VB|PRS|AKT//conj//0 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//7 något//PN|NEU|SIN|IND|SUB/OBJ//obj//7 mellan//PP//case//11 länderna//NN|NEU|PLU|DEF|NOM//nmod//9 .//MAD//punct//7
Internationella jämförelser och slutsatser;Gemensamt//AB|POS//advmod//15 för//PP//case//15 flertalet//NN|NEU|SIN|DEF|NOM//appos//7 är//VB|PRS|AKT//cop//18 dock//AB//advmod//18 åtgärder//NN|UTR|PLU|IND|NOM//ROOT//18 för//PP//mark//21 att//IE//mark//21 stödja//VB|INF|AKT//advcl//18 familjerna//NN|UTR|PLU|DEF|NOM//obj//21 att//IE//mark//24 ha//VB|INF|AKT//xcomp//21 kontakt//NN|UTR|SIN|IND|NOM//obj//24 med//PP//case//29 den//DT|UTR|SIN|DEF//det//29 insatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//29 personalen//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//18
Internationella jämförelser och slutsatser;Likaså//AB//advmod//32 prioriteras//VB|PRS|SFO//parataxis//18 hjälp//NN|UTR|SIN|IND|NOM//nsubj:pass//32 att//IE//mark//35 bilda//VB|INF|AKT//acl//33 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 nätverk//NN|NEU|PLU|IND|NOM//obj//35 och//KN//cc//40 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 sammankomster//NN|UTR|PLU|IND|NOM//conj//37 .//MAD//punct//18
Internationella jämförelser och slutsatser;Längden//NN|UTR|SIN|DEF|NOM//ROOT//0 på//PP//case//4 de//DT|UTR/NEU|PLU|DEF//det//4 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 insatserna//NN|UTR|PLU|DEF|NOM//nmod//0
Internationella jämförelser och slutsatser;Bland//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 tillfrågade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//3 länderna//NN|NEU|PLU|DEF|NOM//obl//6 är//VB|PRS|AKT//cop//6 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//6 vanligast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//ROOT//6 med//PP//case//9 sex//RG|NOM//nummod//9 månader//NN|UTR|PLU|IND|NOM//nmod//11 långa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 insatser//NN|UTR|PLU|IND|NOM//obl//6 ,//MID//punct//11 ett//DT|NEU|SIN|IND//det//14 fåtal//NN|NEU|SIN|IND|NOM//nsubj//16 har//VB|PRS|AKT//aux//16 redovisat//VB|SUP|AKT//acl:relcl//11 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 tid//NN|UTR|SIN|IND|NOM//obj//16 –//RG|NOM//punct//18 fyra//RG|NOM//nummod//21 månader//NN|UTR|PLU|IND|NOM//conj//11 .//MAD//punct//24
Internationella jämförelser och slutsatser;En//DT|UTR|SIN|IND//det//24 erfarenhet//NN|UTR|SIN|IND|NOM//conj//6 som//HP|-|-|-//nsubj//27 möjligen//AB//advmod//27 går//VB|PRS|AKT//acl:relcl//24 att//IE//mark//29 utläsa//VB|INF|AKT//advcl//27 är//VB|PRS|AKT//cop//24 att//SN//mark//37 en//DT|UTR|SIN|IND//det//35 intensivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 individuell//JJ|POS|UTR|SIN|IND|NOM//amod//35 insatsfrekvens//NN|UTR|SIN|IND|NOM//nsubj//37 är//VB|PRS|AKT//cop//37 möjlig//JJ|POS|UTR|SIN|IND|NOM//csubj//24 om//SN//mark//41 insatserna//NN|UTR|PLU|DEF|NOM//nsubj//41 är//VB|PRS|AKT//cop//41 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//37 .//MAD//punct//24
Internationella jämförelser och slutsatser;Frånvaron//NN|UTR|SIN|DEF|NOM//nsubj//46 från//PP//case//45 familjen//NN|UTR|SIN|DEF|NOM//nmod//43 blir//VB|PRS|AKT//parataxis//24 då//AB//advmod//46 inte//AB//advmod//46 så//AB//advmod//50 lång//JJ|POS|UTR|SIN|IND|NOM//xcomp//46 varje//DT|UTR/NEU|SIN|IND//det//52 gång//NN|UTR|SIN|IND|NOM//obl//46 och//KN//cc//54 upplevs//VB|PRS|SFO//conj//46 inte//AB//advmod//54 som//KN//mark//58 lika//AB//advmod//58 påfrestande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//54 .//MAD//punct//24
Internationella jämförelser och slutsatser;Den//DT|UTR|SIN|DEF//det//62 operativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 effekten//NN|UTR|SIN|DEF|NOM//nsubj//63 tenderar//VB|PRS|AKT//parataxis//24 dock//AB//advmod//63 att//IE//mark//66 öka//VB|INF|AKT//xcomp//63 om//SN//mark//69 tjänstgöringsperioderna//NN|UTR|PLU|DEF|NOM//nsubj:pass//69 görs//VB|PRS|SFO//advcl//63 längre//AB|KOM//advmod//69 ,//MID//punct//69 i//PP//advmod//69 synnerhet//NN|UTR|SIN|IND|NOM//fixed//72 på//PP//case//76 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 befattningar//NN|UTR|PLU|IND|NOM//obl//69 .//MAD//punct//6
Internationella jämförelser och slutsatser;Växling//NN|UTR|SIN|IND|NOM//ROOT//0 till//PP//case//3 civilt//JJ|POS|NEU|SIN|IND|NOM//amod//3 yrke//NN|NEU|SIN|IND|NOM//nmod//0
Internationella jämförelser och slutsatser;De//DT|UTR/NEU|PLU|DEF//det//2 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//2 länder//NN|NEU|PLU|IND|NOM//nsubj//3 uppger//VB|PRS|AKT//ROOT//3 att//SN//mark//11 ett//DT|NEU|SIN|IND//det//9 attraktivt//JJ|POS|NEU|SIN|IND|NOM//amod//9 och//KN//cc//8 planerat//PC|PRF|NEU|SIN|IND|NOM//conj//6 karriärväxlingsprogram//NN|NEU|SIN|IND|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 viktigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//3 ,//MID//punct//11 såväl//KN//advmod//15 i//PP//case//15 rekryteringshänseende//NN|NEU|SIN|IND|NOM//conj//11 ,//MID//punct//18 som//KN//case//18 incitament//NN|NEU|SIN|IND|NOM//conj//11 för//PP//case//20 kvarhållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//18 och//KN//cc//24 för//PP//mark//24 att//IE//mark//24 upprätthålla//VB|INF|AKT//conj//11 ett//DT|NEU|SIN|IND//det//27 gott//JJ|POS|NEU|SIN|IND|NOM//amod//27 anseende//NN|NEU|SIN|IND|NOM//obj//24 .//MAD//punct//3
Internationella jämförelser och slutsatser;Karriärväxlingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//31 behöver//VB|PRS|AKT//aux//31 planeras//VB|INF|SFO//parataxis//3 tidigt//AB|POS//advmod//31 och//KN//cc//36 bör//VB|PRS|AKT//aux//36 inte//AB//advmod//36 betraktas//VB|INF|SFO//conj//31 som//KN//mark//39 en//DT|UTR|SIN|IND//det//39 omställningsåtgärd//NN|UTR|SIN|IND|NOM//xcomp//36 som//HP|-|-|-//nsubj:pass//41 introduceras//VB|PRS|SFO//acl:relcl//39 när//HA//mark//44 anställningstiden//NN|UTR|SIN|DEF|NOM//nsubj//44 går//VB|PRS|AKT//advcl//41 mot//PP//case//47 sitt//PS|NEU|SIN|DEF//nmod:poss//47 slut//NN|NEU|SIN|IND|NOM//obl//44 .//MAD//punct//31
Internationella jämförelser och slutsatser;Viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 aspekter//NN|UTR|PLU|IND|NOM//conj//31 är//VB|PRS|AKT//cop//50 närheten//NN|UTR|SIN|DEF|NOM//nsubj//50 till//PP//case//56 den//DT|UTR|SIN|DEF//det//56 civila//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//56 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//50 och//KN//cc//60 att//SN//mark//60 utbildningar//NN|UTR|PLU|IND|NOM//nsubj:pass//60 certifieras//VB|PRS|SFO//conj//31 och//KN//cc//62 erfarenhet//NN|UTR|SIN|IND|NOM//conj//60 värderas//VB|INF|SFO//xcomp//60 .//MAD//punct//3

Säker bemanning;En//DT|UTR|SIN|IND//det//2 säker//JJ|POS|UTR|SIN|IND|NOM//amod//2 bemanning//NN|UTR|SIN|IND|NOM//nsubj//3 förutsätter//VB|PRS|AKT//ROOT//3 att//SN//mark//8 två//RG|NOM//nummod//6 villkor//NN|NEU|PLU|IND|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 uppfyllda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//3 .//MAD//punct//19
Säker bemanning;För//PP//case//12 det//DT|NEU|SIN|DEF//det//12 första//RO|NOM//obl//19 måste//VB|PRS|AKT//aux//19 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 organisation//NN|UTR|SIN|IND|NOM//nsubj//19 alltid//AB//advmod//19 vara//VB|INF|AKT//cop//19 fullständigt//AB|POS//advmod//19 bemannad//PC|PRF|UTR|SIN|IND|NOM//xcomp//8 med//PP//case//21 personal//NN|UTR|SIN|IND|NOM//obl//19 med//PP//case//24 rätt//JJ|POS|UTR|SIN|IND|NOM//amod//24 kompetens//NN|UTR|SIN|IND|NOM//nmod//21 .//MAD//punct//19
Säker bemanning;För//PP//case//28 det//DT|NEU|SIN|DEF//det//28 andra//RO|NOM//obl//33 måste//VB|PRS|AKT//aux//33 denna//DT|UTR|SIN|DEF//det//31 personal//NN|UTR|SIN|IND|NOM//nsubj//33 också//AB//advmod//33 infinna//VB|INF|AKT//conj//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//33 när//HA//mark//38 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//38 är//VB|PRS|AKT//cop//38 planerad//PC|PRF|UTR|SIN|IND|NOM//advcl//33 för//PP//case//40 tjänstgöring//NN|UTR|SIN|IND|NOM//obl//38 i//PP//case//43 en//DT|UTR|SIN|IND//det//43 insats//NN|UTR|SIN|IND|NOM//nmod//40 .//MAD//punct//3
Säker bemanning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//46 lämnar//VB|PRS|AKT//parataxis//3 förslag//NN|NEU|PLU|IND|NOM//obj//46 som//HP|-|-|-//nsubj//50 är//VB|PRS|AKT//cop//50 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//47 att//IE//mark//52 förbättra//VB|INF|AKT//advcl//50 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//52 i//PP//case//57 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 dessa//DT|UTR/NEU|PLU|DEF//det//57 avseenden//NN|NEU|PLU|IND|NOM//obl//52 .//MAD//punct//3
Säker bemanning;En//DT|UTR|SIN|IND//det//3 rätt//AB//advmod//2 bemannad//PC|PRF|UTR|SIN|IND|NOM//amod//3 organisation//NN|UTR|SIN|IND|NOM//nsubj//4 förutsätter//VB|PRS|AKT//ROOT//4 att//SN//mark//10 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//10 i//PP//case//8 tid//NN|UTR|SIN|IND|NOM//obl//10 kan//VB|PRS|AKT//aux//10 förutse//VB|INF|AKT//ccomp//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//12 personalbehov//NN|NEU|PLU|IND|NOM//obj//10 och//KN//cc//14 rekrytera//VB|INF|AKT//conj//10 ,//MID//punct//16 vidareutveckla//VB|INF|AKT//conj//10 ,//MID//punct//18 behålla//VB|INF|AKT//conj//10 och//KN//cc//20 avveckla//VB|INF|AKT//conj//10 sin//PS|UTR|SIN|DEF//nmod:poss//22 personal//NN|UTR|SIN|IND|NOM//obj//20 på//PP//case//25 ett//DT|NEU|SIN|IND//det//25 sätt//NN|NEU|SIN|IND|NOM//obl//20 som//HP|-|-|-//nsubj//27 gör//VB|PRS|AKT//acl:relcl//25 att//SN//mark//32 behov//NN|NEU|SIN|IND|NOM//nsubj//32 och//KN//cc//31 tillgång//NN|UTR|SIN|IND|NOM//conj//29 är//VB|PRS|AKT//ccomp//27 i//PP//case//34 balans//NN|UTR|SIN|IND|NOM//obl//32 vid//PP//case//37 varje//DT|UTR/NEU|SIN|IND//det//37 tidpunkt//NN|UTR|SIN|IND|NOM//nmod//34 .//MAD//punct//43
Säker bemanning;För//PP//case//40 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//43 är//VB|PRS|AKT//cop//43 det//DT|NEU|SIN|DEF//expl//43 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//4 att//SN//mark//46 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj:pass//46 uppfattas//VB|PRS|SFO//ccomp//43 som//KN//case//50 en//DT|UTR|SIN|IND//det//50 attraktiv//JJ|POS|UTR|SIN|IND|NOM//amod//50 arbetsgivare//NN|UTR|SIN|IND|NOM//xcomp//46 .//MAD//punct//4

Lagstiftning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//15 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 arbetsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//15 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 gruppbefäl//NN|NEU|PLU|IND|NOM//nmod//5 ,//MID//punct//9 soldater//NN|UTR|PLU|IND|NOM//conj//7 och//KN//cc//11 sjömän//NN|UTR|PLU|IND|NOM//conj//7 i//PP//case//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//11 ska//VB|PRS|AKT//aux//15 regleras//VB|INF|SFO//ccomp//1 i//PP//case//19 en//DT|UTR|SIN|IND//det//19 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//19 lag//NN|UTR|SIN|IND|NOM//obl//15 ,//MID//punct//19 en//DT|UTR|SIN|IND//det//22 lex//UO//nsubj//23 specialis//UO//appos//19 ,//MID//punct//19 för//PP//case//26 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//15 .//MAD//punct//1
Lagstiftning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 ska//VB|PRS|AKT//aux//31 vara//VB|INF|AKT//cop//31 möjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 att//IE//mark//33 avtala//VB|INF|AKT//csubj//31 om//PP//case//35 avvikelser//NN|UTR|PLU|IND|NOM//obl//33 från//PP//case//37 lagen//NN|UTR|SIN|DEF|NOM//nmod//35 i//PP//case//40 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 avseenden//NN|NEU|PLU|IND|NOM//nmod//37 genom//PP//case//42 kollektivavtal//NN|NEU|PLU|IND|NOM//nmod//40 som//HP|-|-|-//nsubj:pass//45 har//VB|PRS|AKT//aux//45 slutits//VB|SUP|SFO//acl:relcl//42 eller//KN//cc//47 godkänts//VB|SUP|SFO//conj//45 av//PP//case//51 en//DT|UTR|SIN|IND//det//51 central//JJ|POS|UTR|SIN|IND|NOM//amod//51 arbetstagarorganisation//NN|UTR|SIN|IND|NOM//obl:agent//47 .//MAD//punct//1
Lagstiftning;Speciallagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 i//PP//case//3 sin//PS|UTR|SIN|DEF//nmod:poss//3 helhet//NN|UTR|SIN|IND|NOM//nmod//0 ska//VB|PRS|AKT//aux//5 tillämpas//VB|INF|SFO//ROOT//5 på//PP//case//7 arbetstagare//NN|UTR|PLU|IND|NOM//obl//5 i//PP//case//9 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//7 som//HP|-|-|-//nsubj//12 är//VB|PRS|AKT//cop//12 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//9 som//KN//case//14 gruppbefäl//NN|NEU|PLU|IND|NOM//obl//12 ,//MID//punct//16 soldater//NN|UTR|PLU|IND|NOM//conj//14 och//KN//cc//18 sjömän//NN|UTR|PLU|IND|NOM//conj//14 .//MAD//punct//5
Lagstiftning;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//41 i//PP//case//22 speciallagen//NN|UTR|SIN|DEF|NOM//nmod//20 om//PP//case//24 rätt//NN|UTR|SIN|IND|NOM//nmod//20 till//PP//case//26 ledighet//NN|UTR|SIN|IND|NOM//nmod//24 och//KN//cc//28 skydd//NN|NEU|SIN|IND|NOM//conj//26 för//PP//case//30 anställningen//NN|UTR|SIN|DEF|NOM//nmod//20 samt//KN//cc//33 om//PP//case//33 rätt//NN|UTR|SIN|IND|NOM//conj//20 till//PP//case//35 studieuppehåll//NN|NEU|SIN|IND|NOM//nmod//33 och//KN//cc//37 anstånd//NN|NEU|SIN|IND|NOM//conj//35 med//PP//case//39 studier//NN|UTR|PLU|IND|NOM//nmod//37 ska//VB|PRS|AKT//aux//41 gälla//VB|INF|AKT//parataxis//5 också//AB//advmod//44 för//PP//case//44 reservofficerare//NN|UTR|PLU|IND|NOM//obl//41 .//MAD//punct//41
Lagstiftning;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//64 i//PP//case//48 speciallagen//NN|UTR|SIN|DEF|NOM//nmod//46 om//PP//case//50 tjänstgöring//NN|UTR|SIN|IND|NOM//nmod//48 i//PP//case//54 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 insatser//NN|UTR|PLU|IND|NOM//nmod//50 och//KN//cc//57 om//PP//case//57 disciplinansvar//NN|NEU|SIN|IND|NOM//conj//54 vid//PP//case//59 tjänstgöring//NN|UTR|SIN|IND|NOM//nmod//57 i//PP//case//62 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//62 insatser//NN|UTR|PLU|IND|NOM//nmod//59 ska//VB|PRS|AKT//aux//64 gälla//VB|INF|AKT//parataxis//41 alla//DT|UTR/NEU|PLU|IND/DEF//det//66 anställda//NN|UTR|PLU|IND|NOM//obj//64 i//PP//obl//64
Lagstiftning;Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//11 vid//PP//case//2 tjänstgöring//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//6 en//DT|UTR|SIN|IND//det//6 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//6 insats//NN|UTR|SIN|IND|NOM//nmod//2 .//MAD//punct//0
Lagstiftning;Speciallagen//NN|UTR|SIN|DEF|NOM//nsubj//11 ska//VB|PRS|AKT//aux//11 inte//AB//advmod//11 gälla//VB|INF|AKT//ROOT//11 för//PP//case//13 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//11 som//HP|-|-|-//nsubj//17 är//VB|PRS|AKT//cop//17 lokalt//AB|POS//advmod//17 anställd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//13 i//PP//case//19 insatsområdet//NN|NEU|SIN|DEF|NOM//obl//17 .//MAD//punct//11

Arbetsskyldighet;En//DT|UTR|SIN|IND//det//1 arbetstagare//NN|UTR|SIN|IND|NOM//ROOT//1 som//HP|-|-|-//nsubj//4 är//VB|PRS|AKT//cop//4 anställd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//1 i//PP//case//6 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//4 som//KN//obj//13 gruppbefäl//NN|UTR|SIN|IND|NOM//nsubj//13 ,//MID//punct//10 soldat//NN|UTR|SIN|IND|NOM//conj//8 eller//KN//cc//12 sjöman//NN|UTR|SIN|IND|NOM//conj//8 kommer//VB|PRS|AKT//acl:relcl//6 under//PP//case//16 sin//PS|UTR|SIN|DEF//nmod:poss//16 anställningstid//NN|UTR|SIN|IND|NOM//obl//13 att//IE//mark//19 vara//VB|INF|AKT//cop//19 skyldig//JJ|POS|UTR|SIN|IND|NOM//advcl//13 att//IE//mark//21 tjänstgöra//VB|INF|AKT//advcl//19 i//PP//case//25 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 insatser//NN|UTR|PLU|IND|NOM//obl//21 i//PP//case//31 enlighet//NN|UTR|SIN|IND|NOM//fixed//26 med//PP//fixed//26 sitt//PS|NEU|SIN|DEF//nmod:poss//31 individuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 anställningsavtal//NN|NEU|SIN|IND|NOM//obl//21 .//MAD//punct//1
Arbetsskyldighet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//34 föreslår//VB|PRS|AKT//parataxis//1 inga//DT|UTR/NEU|PLU|IND//det//37 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//37 bestämmelser//NN|UTR|PLU|IND|NOM//obj//34 om//PP//case//40 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//40 arbetsskyldighet//NN|UTR|SIN|IND|NOM//nmod//37 som//HP|-|-|-//nsubj//42 går//VB|PRS|AKT//acl:relcl//40 utöver//PP//case//45 den//DT|UTR|SIN|DEF//det//45 arbetsskyldighet//NN|UTR|SIN|IND|NOM//obl//42 som//HP|-|-|-//nsubj//47 finns//VB|PRS|SFO//acl:relcl//45 inom//PP//case//51 ramen//NN|UTR|SIN|DEF|NOM//fixed//48 för//PP//fixed//48 anställningen//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//1

Anställningsformer;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//4 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 ges//VB|PRS|SFO//ccomp//1 möjlighet//NN|UTR|SIN|IND|NOM//obj//4 att//IE//mark//7 anställa//VB|INF|AKT//acl//5 gruppbefäl//NN|NEU|PLU|IND|NOM//obj//7 ,//MID//punct//10 soldater//NN|UTR|PLU|IND|NOM//conj//8 och//KN//cc//12 sjömän//NN|UTR|PLU|IND|NOM//conj//8 genom//PP//case//16 längre//AB|KOM//advmod//15 tidsbegränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//16 anställningar//NN|UTR|PLU|IND|NOM//obl//7 .//MAD//punct//1
Anställningsformer;En//DT|UTR|SIN|IND//det//21 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//21 tidsbegränsad//PC|PRF|UTR|SIN|IND|NOM//amod//21 anställning//NN|UTR|SIN|IND|NOM//nsubj//25 ska//VB|PRS|AKT//aux//25 inte//AB//advmod//25 kunna//VB|INF|AKT//aux//25 övergå//VB|INF|AKT//parataxis//1 i//PP//case//28 en//DT|UTR|SIN|IND//det//28 tillsvidareanställning//NN|UTR|SIN|IND|NOM//obl//25 .//MAD//punct//1

Specialistofficerare;Vidare//AB|KOM//advmod//1 föreslås//VB|PRS|SFO//ROOT//1 att//SN//mark//6 specialistofficerare//NN|UTR|PLU|IND|NOM//nsubj//6 ska//VB|PRS|AKT//aux//6 vara//VB|INF|AKT//cop//6 tillsvidareanställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 .//MAD//punct//1
